geo_uid,ct_name,avg_value_dwellings_2011,avg_rent_monthly_2011,avg_income_2011,avg_income_monthly_2011,pct_income_spent_rent_2011,years_to_save,advocados_rent
9330187.03,187.03,510866,902,33605,2800.42,32.21,4.24,196.09
9330181.06,181.06,512289,1051,43624,3635.33,28.91,4.26,228.48
9330050.02,50.02,512644,838,31308,2609,32.12,4.27,182.17
9330059.11,59.11,513939,1463,51362,4280.17,34.18,4.29,318.04
9330062,62,514571,1253,48519,4043.25,30.99,4.30,272.39
9330503.01,503.01,515776,1364,44158,3679.83,37.07,4.32,296.52
9330290.05,290.05,516545,1189,38536,3211.33,37.03,4.33,258.48
9330184.16,184.16,516836,900,31743,2645.25,34.02,4.34,195.65
9330184.12,184.12,517348,995,35129,2927.42,33.99,4.35,216.3
9330184.09,184.09,519842,749,31912,2659.33,28.16,4.39,162.83
9330187.16,187.16,520634,1135,40068,3339,33.99,4.40,246.74
9330223.01,223.01,520963,1027,32869,2739.08,37.49,4.41,223.26
9330183.05,183.05,521052,1052,45789,3815.75,27.57,4.41,228.7
9330055.02,55.02,521269,824,35273,2939.42,28.03,4.41,179.13
9330281.02,281.02,521786,1029,36373,3031.08,33.95,4.42,223.7
9330101.06,101.06,521900,1088,46518,3876.5,28.07,4.42,236.52
9330502.02,502.02,523766,1249,40982,3415.17,36.57,4.45,271.52
9330040.02,40.02,525235,1073,48103,4008.58,26.77,4.47,233.26
9330183.01,183.01,526018,1041,41238,3436.5,30.29,4.49,226.3
9330502.03,502.03,526403,998,41020,3418.33,29.2,4.49,216.96
9330148,148,526462,1130,25947,2162.25,52.26,4.49,245.65
9330189.09,189.09,528371,733,31862,2655.17,27.61,4.53,159.35
9330056.01,56.01,532639,791,30812,2567.67,30.81,4.60,171.96
9330292.01,292.01,532711,967,43040,3586.67,26.96,4.60,210.22
9330001.01,1.01,533334,860,34503,2875.25,29.91,4.61,186.96
9330200,200,535954,983,37435,3119.58,31.51,4.65,213.7
9330260.05,260.05,543523,995,45807,3817.25,26.07,4.77,216.3
9330163.01,163.01,543872,1230,41979,3498.25,35.16,4.78,267.39
9330186.07,186.07,547017,773,28240,2353.33,32.85,4.83,168.04
9330162.02,162.02,548412,1055,42295,3524.58,29.93,4.85,229.35
9330163.04,163.04,548686,982,45325,3777.08,26,4.86,213.48
9330039.02,39.02,550398,1141,49533,4127.75,27.64,4.88,248.04
9330292.03,292.03,552189,1059,39494,3291.17,32.18,4.91,230.22
9330284.01,284.01,552652,991,34312,2859.33,34.66,4.92,215.43
9330101.05,101.05,552731,1153,42794,3566.17,32.33,4.92,250.65
9330240.01,240.01,553671,1205,37591,3132.58,38.47,4.94,261.96
9330047.02,47.02,554386,1103,45951,3829.25,28.8,4.95,239.78
9330187.06,187.06,555045,1114,32058,2671.5,41.7,4.96,242.17
9330410.04,410.04,555363,1089,37429,3119.08,34.91,4.96,236.74
9330187.05,187.05,556198,738,26331,2194.25,33.63,4.98,160.43
9330286.02,286.02,558155,1007,42878,3573.17,28.18,5.01,218.91
